Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-05-16T01:04:33.279 ,1,0.0035331816822437288,1.7063678174648338,FoVF,0.7121751029389127,0.7244092073856634,2457158.5463006487
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-06-10T08:42:55.247 ,2,0.004393996880480914,2.8407467944796174,FoVP,-0.6974105206371348,0.7225542386992951,2457183.8653259794
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-07-19T23:57:51.463 ,6,-0.004347860851308055,0.6710030250674037,FoVF,0.6521461609759024,0.7269434023851901,2457223.5013753003
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-07-20T01:44:25.681 ,4,7.078994540542904E-4,0.6722307570029303,FoVP,0.6502863047213422,0.7285560577308644,2457223.575382998
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-08-09T23:56:57.237 ,1,0.0032845272165505646,1.7608979484925182,FoVF,-0.646193866541528,0.7263712909317913,2457244.500788207
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-08-10T01:43:31.443 ,6,-0.001781438760713763,1.762186999774752,FoVP,-0.648075688041916,0.724697153162298,2457244.574794945
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-09-18T10:56:08.455 ,2,0.0016721330833510241,-0.4094911916400781,FoVF,0.6797849602613504,0.7204244063976507,2457283.958012624
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-09-18T12:42:42.658 ,1,0.006968513521389977,-0.40898642528702195,FoVP,0.6785608767348408,0.7216603814828463,2457284.0320178904
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-10-12T10:48:54.656 ,3,3.8083518963497075E-4,0.7231541959448295,FoVF,-0.705558325078524,0.7141606181552268,2457307.9523400543
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-11-15T22:11:39.578 ,4,-0.0012790774499584494,-1.4087225456822519,FoVF,0.705146678795093,0.7085565958992052,2457342.425359836
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-11-15T23:58:13.796 ,2,0.003933747531476123,-1.4104513699244532,FoVP,0.7054706688809919,0.7081732784921801,2457342.4993646205
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-12-17T03:51:26.138 ,3,6.601706412124648E-4,-0.40356137551085575,FoVF,-0.6654092918274415,0.7065486147000608,2457373.660429599
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2015-12-17T05:38:00.330 ,7,-0.004024057135046295,-0.40653319221780637,FoVP,-0.6641793927376206,0.7075998689023457,2457373.734434726
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2016-01-15T15:39:10.162 ,5,-0.003371145817311164,-2.430060946837439,FoVF,0.6343679316843501,0.6996859218954203,2457403.151427183
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2016-01-15T17:25:44.358 ,4,9.701246005819991E-4,-2.433523331079167,FoVP,0.6357979276381776,0.6983309778684218,2457403.225433427
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2016-02-20T17:01:45.956 ,3,0.0028466267000091744,-1.6343072892580381,FoVP,-0.6341656582962684,0.7065919217258474,2457439.2088383995
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2016-03-22T03:02:12.397 ,3,0.0014030867989524595,2.608250093049937,FoVF,0.6807761549818483,0.7070299752863592,2457469.6263835323
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2016-03-22T04:48:46.642 ,1,0.0060909009246475024,2.60554807397139,FoVP,0.6818556644547932,0.7061188209413866,2457469.7003928544
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2016-04-22T14:43:42.549 ,6,-0.004744428963023667,-2.6469550232377013,FoVF,-0.7147751946084151,0.713406312739984,2457501.114455028
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2016-05-28T14:04:55.998 ,3,4.9553889050915255E-5,1.4998547641144384,FoVF,0.7029139683448369,0.7243886771205269,2457537.088638692
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2016-05-28T15:51:30.208 ,2,0.005279922361722942,1.499839428273257,FoVP,0.7020395777510813,0.7251936236750209,2457537.1626478434
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2016-06-21T15:45:45.268 ,3,0.0020430927592831427,2.6296854720145344,FoVP,-0.6808557884338404,0.7226569310920057,2457561.1592468917
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2016-07-31T18:57:49.435 ,2,0.003111229073760602,0.45796711655443706,FoVF,0.642465455714164,0.7276181873125125,2457601.293072629
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2016-08-21T18:56:43.948 ,6,-0.0037668460870352682,1.5492592394239753,FoVF,-0.6555424165934927,0.7200973607513765,2457622.292214425
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2016-10-24T17:49:14.093 ,5,-0.002791732171186168,0.5138946663200237,FoVF,-0.7142747044299834,0.7110027318173217,2457686.2438210347
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2016-11-26T23:17:46.547 ,6,-0.0039471534260271945,-1.6003420190801663,FoVF,0.6954978992219895,0.7085651270795598,2457719.470911933
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2016-11-27T01:04:20.746 ,4,0.0011162348070262893,-1.6025356850119905,FoVP,0.6961156157226569,0.7078610736737873,2457719.5449166694
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2016-12-29T16:55:53.127 ,2,0.0017275998570118432,-0.6552265547546494,FoVF,-0.646960467389134,0.7081395002150315,2457752.204917822
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2016-12-29T18:42:27.331 ,6,-0.0027464701302046773,-0.6585207122898533,FoVP,-0.6455268163315936,0.7093516969777586,2457752.278923523
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-01-27T16:46:03.169 ,7,-0.006260095458530616,-2.663068432977837,FoVF,0.630018878401415,0.7010621899733815,2457781.197821389
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-01-27T18:32:37.328 ,6,-0.0020232818329454136,-2.66663782225217,FoVP,0.6315339004226012,0.6996801268056636,2457781.271827746
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-03-04T13:31:28.064 ,2,0.004832373016282716,-1.8504706054886662,FoVP,-0.6508848375561311,0.7087673223628909,2457817.062997593
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-03-04T17:45:08.069 ,7,-0.005883370246030859,-1.8578364660322735,FoVF,-0.6480259713557243,0.7116319775973364,2457817.239158219
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-04-04T23:28:02.244 ,3,7.974739688817027E-4,2.3682898213968757,FoVF,0.6990931466550998,0.7097201017333948,2457848.4780384796
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-04-05T01:14:36.479 ,1,0.005683591589843953,2.3660650781467663,FoVP,0.6998550734233663,0.7090776859014778,2457848.552047971
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-05-04T18:58:17.941 ,1,0.006737529920152579,-2.8377016582516488,FoVP,-0.7165420059349026,0.7161310082276717,2457878.2916457606
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-05-04T23:11:57.965 ,7,-0.005596661022218384,-2.8401424286181727,FoVF,-0.7168323079936713,0.7158662708140231,2457878.467809032
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-06-11T00:13:55.315 ,6,-0.0024138550705026223,1.2951277462885342,FoVP,0.689756956520238,0.7226898523259985,2457915.51190814
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-07-03T22:23:43.562 ,2,0.00305968109594481,2.414102848719361,FoVF,-0.6633006435579656,0.7228526113410639,2457938.435842485
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-07-04T00:10:17.769 ,6,-0.0020571268980518367,2.4150148693343194,FoVP,-0.6648372591018363,0.7213643648028502,2457938.509850638
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-08-13T03:20:24.485 ,7,-0.005698749987996675,0.23819128877891582,FoVF,0.6444960531026406,0.7231117585102405,2457978.6420723903
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-08-13T05:06:58.708 ,5,-6.048751887377595E-4,0.23939355036521762,FoVP,0.6426768849454066,0.7247417949839409,2457978.7160791783
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-09-03T11:05:03.481 ,1,0.006819746370767518,1.3376164812736708,FoVP,-0.6647862457274951,0.7182583142398891,2457999.964506289
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-09-03T15:18:43.494 ,7,-0.005523111685462679,1.3399909533913088,FoVF,-0.6687610567033816,0.7147162133657812,2458000.1406609137
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-10-11T08:25:10.983 ,3,7.029985498718828E-4,-0.8224605312675523,FoVF,0.6997154809110072,0.7205564929204584,2458037.8525606827
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-10-11T10:11:45.196 ,1,0.00608530671757041,-0.8227741486251178,FoVP,0.699094943037547,0.7212174494263738,2458037.926565538
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2017-11-07T02:12:36.132 ,6,-0.004281300436769883,0.2979697439030488,FoVF,-0.7145696824960621,0.7089907107485938,2458064.592967065
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-01-12T07:23:51.394 ,5,-0.0024845105875825834,-0.9139324669858544,FoVF,-0.6311688663397258,0.7107977340180386,2458130.807502623
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-02-10T03:01:42.282 ,6,-0.0030474097619115005,-2.912902906873848,FoVP,0.6357568225585878,0.7022063410565358,2458159.625387986
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-03-17T06:52:10.566 ,1,0.004740952732581949,-2.0574643789856015,FoVF,-0.670309910063413,0.7119769803316776,2458194.785970177
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-03-17T08:38:44.798 ,5,6.374254712810396E-5,-2.0602166340440147,FoVP,-0.6693147362489915,0.7130179015456614,2458194.859979209
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-04-18T18:30:27.115 ,5,-0.0020240552174979245,2.139496307161034,FoVF,0.7130497933288982,0.7122248808911199,2458227.2717925375
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-04-18T20:17:01.327 ,3,0.003025795755249697,2.137798038090909,FoVP,0.7134338205841665,0.7119029086031998,2458227.3458019407
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-05-17T02:03:25.967 ,1,0.006973269750403385,-3.0346994047956466,FoVP,-0.7110380465744767,0.7202864321607367,2458255.5872547664
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-05-17T06:17:05.989 ,7,-0.00545797940406617,-3.0360562326667795,FoVF,-0.7120574020204842,0.719202161471274,2458255.7634178195
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-06-24T07:13:41.325 ,6,-0.0026798161973505363,1.0900472309442293,FoVP,0.6743079566823199,0.7204720808920386,2458293.803700836
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-07-16T07:11:28.666 ,3,0.001997264090501188,2.1963193018710045,FoVP,-0.6494388075851868,0.7215092404021403,2458315.8024854967
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-08-25T10:21:08.675 ,7,-0.006112383277127445,0.0198536117897213,FoVF,0.6489991775071713,0.721591786590146,2458355.9341438725
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-08-25T12:07:42.897 ,5,-9.573926201662284E-4,0.020890773822462315,FoVP,0.6473209047143983,0.7231394671684634,2458356.0081501855
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-09-16T12:04:35.847 ,4,5.560007176601715E-4,1.132768262618253,FoVP,-0.6824155868793017,0.7113966498639874,2458378.005603005
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-10-23T05:16:01.668 ,7,-0.003717853957427648,-1.0207459291616003,FoVP,0.7049063093500021,0.7189713957498989,2458414.7208406497
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-11-20T09:14:05.623 ,1,0.003653178968424644,0.07650587000287025,FoVF,-0.7071495811214442,0.7068513997429783,2458442.8852549773
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-11-20T11:00:39.840 ,5,-0.0014782444745851638,0.07451834722039336,FoVP,-0.7065774481049424,0.7073499796973032,2458442.959259808
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-12-21T14:53:44.821 ,3,0.0014021092223115805,-2.0002928973315144,FoVF,0.6658615991625181,0.7066790105883671,2458474.120282561
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2018-12-21T16:40:19.069 ,1,0.006102729127542599,-2.003246916652741,FoVP,0.6669818014561741,0.7055294331760835,2458474.194288476
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2019-01-25T16:16:30.821 ,4,0.001025008288592809,-1.1629662635481641,FoVP,-0.6266463765692435,0.7105180007692198,2458509.177316204
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2019-02-23T20:21:20.112 ,1,0.003884585267633487,3.110540313267373,FoVF,0.6506609189028968,0.7039391039264662,2458538.3474859633
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2019-03-29T21:45:43.802 ,3,0.0025173266717837075,-2.2577089700380215,FoVP,-0.6889246487059806,0.7163015136647668,2458572.4068090133
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2019-05-02T13:32:07.149 ,4,-0.0010657565667623562,1.919072081596157,FoVF,0.7211115738244092,0.7138166013275541,2458606.065047101
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2019-05-02T15:18:41.365 ,2,0.004104145021474719,1.9179522554515596,FoVP,0.7210765014752932,0.7138714124724808,2458606.1390565806
KIC 12008916,5.045687940836737,0.880120347755911,19:16:23.190,+50:25:37.853,2019-05-29T09:07:52.772 ,2,0.005099341153982814,3.0470490120707945,FoVP,-0.7000049733153596,0.7242968983190049,2458632.882366344
